perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
1,30,72,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,150,152,1,1,0,0,0,1
1,30,72,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,150,152,1,1,0,0,0,1
1,30,82,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,157,141,0,1,1,1,0,1
1,27,59,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,152,142,0,0,0,0,1,1
1,28,34,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,155,148,0,1,0,0,0,1
1,37,61,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,146,162,0,1,1,0,1,1
1,29,55,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,222,98,1,1,0,0,0,1
1,47,80,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,258,112,1,0,1,1,0,1
1,36,44,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,297,167,1,1,0,0,0,1
1,38,27,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,194,108,0,0,1,1,1,0
1,47,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,193,102,0,1,1,0,1,1
1,47,80,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,260,112,1,0,1,1,0,1
1,46,53,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,212,96,0,1,1,0,1,1
1,46,53,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,212,96,0,1,1,0,1,1
1,46,53,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,212,96,0,1,1,0,1,1
1,46,53,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,212,96,0,1,1,0,1,1
1,46,53,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,212,96,0,1,1,0,1,1
1,36,67,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,273,114,1,1,0,1,1,1
1,43,66,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,174,115,1,0,0,0,1,1
1,50,76,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,250,103,1,0,1,1,0,1
1,50,76,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,250,103,1,0,1,1,0,1
1,36,35,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,149,143,1,0,0,0,0,1
1,36,68,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,252,98,0,0,0,1,0,1
0,20,47,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,210,95,0,0,0,0,0,0
0,32,68,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,251,97,0,0,0,1,0,1
1,34,29,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,159,128,1,1,1,0,1,1
1,38,72,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,304,169,1,0,0,1,0,1
1,36,70,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,255,98,0,0,0,1,0,1
1,33,24,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,163,125,1,1,1,0,1,1
1,30,28,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,158,223,0,0,0,1,0,0
1,17,53,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,227,93,0,1,0,1,0,1
0,27,57,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,238,109,0,0,0,0,0,1
1,47,37,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,222,92,0,0,0,0,0,1
1,36,68,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,259,98,0,0,0,1,0,1
1,35,61,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,150,126,0,0,0,1,0,1
1,16,52,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,189,98,0,0,0,0,0,1
1,35,61,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,149,127,0,0,0,1,0,1
1,52,74,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,231,95,1,0,1,0,0,1
1,36,68,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,259,97,0,0,0,1,0,1
1,36,68,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,259,97,0,0,0,1,0,1
1,36,68,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,263,99,0,0,0,1,0,1
0,13,27,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,200,102,0,0,0,0,0,0
1,13,51,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,187,98,0,0,0,0,0,1
1,57,39,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,206,250,1,0,1,1,1,0
1,55,81,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,233,91,0,1,1,0,1,1
1,45,80,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,256,97,1,0,1,1,0,1
1,34,34,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,175,104,0,0,0,0,0,1
1,31,35,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,258,102,0,1,1,0,0,1
0,25,73,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,186,94,1,1,0,0,0,1
0,44,37,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,150,138,0,0,1,0,0,0
1,34,35,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,148,128,1,0,0,0,0,1
0,22,39,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,153,127,0,0,0,0,0,0
0,23,28,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,166,112,0,0,0,0,0,0
1,46,59,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,245,87,1,0,0,1,1,1
1,46,48,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,200,86,0,1,1,0,1,1
1,13,49,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,215,87,0,0,0,0,0,1
0,27,32,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,204,89,0,0,0,1,0,0
0,14,46,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,215,87,0,0,0,0,0,0
1,43,33,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,135,147,1,1,1,1,1,1
1,29,24,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,287,123,1,1,1,0,1,1
1,29,24,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,288,123,1,1,1,0,1,1
1,32,24,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,289,123,1,1,1,0,1,1
