n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_used_permissions,n_urls,n_receivers,perm_com_android_vending_BILLING,label
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,10,0,0,0,11,121,3,0,0
44,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,29,0,0,0,0,3,0,0,0,11,97,3,0,1
40,0,1,0,0,1,18,6,1,1,0,1,1,1,1,1,1,40,0,1,0,1,13,1,0,0,17,113,11,1,0
43,1,1,1,1,1,23,1,1,1,1,0,0,0,0,0,0,57,1,0,0,0,9,0,0,0,13,112,6,0,1
45,1,1,0,1,1,20,0,1,1,0,0,0,0,0,0,0,51,1,1,1,0,2,0,0,0,13,89,1,0,1
40,0,1,1,1,1,25,0,1,1,1,0,0,0,0,0,0,48,1,0,1,0,5,0,0,0,13,110,6,0,1
36,1,1,1,1,1,21,0,1,0,1,0,0,0,0,0,0,43,1,1,1,1,5,0,0,0,11,104,3,0,0
41,1,1,1,1,1,20,0,1,0,1,0,0,0,0,0,0,34,1,0,0,0,1,0,0,0,11,106,0,0,0
34,1,1,0,0,0,13,1,0,0,1,0,0,0,0,0,0,38,1,1,0,0,6,0,0,0,13,98,2,0,1
46,0,0,0,0,0,11,8,1,0,0,0,1,1,1,1,1,29,0,0,0,0,9,1,0,0,20,113,9,1,0
36,1,1,0,1,0,12,1,1,1,0,0,0,0,0,0,0,38,1,0,0,0,5,0,0,0,11,116,1,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,10,0,0,0,11,122,3,0,0
38,1,0,0,0,0,15,3,1,0,1,1,1,1,1,1,1,58,1,0,0,1,12,1,0,0,13,108,13,0,0
31,0,0,0,0,0,7,3,1,0,0,0,0,1,0,1,1,54,0,0,0,0,2,1,0,0,15,101,4,1,0
51,0,1,0,0,0,12,5,1,0,1,1,1,1,1,1,1,42,1,1,0,1,19,1,1,0,16,102,22,0,0
58,0,1,1,0,0,21,0,0,0,1,0,0,1,1,0,0,58,0,0,1,0,10,0,0,0,17,119,6,0,0
36,0,0,0,0,0,10,4,1,0,0,1,1,1,1,1,0,34,0,0,0,0,8,1,0,0,14,98,11,1,0
55,1,0,1,0,0,12,2,1,0,1,0,0,1,1,1,0,29,0,1,0,1,9,0,0,0,15,91,9,0,1
49,0,1,1,0,0,20,6,1,0,1,1,1,1,1,1,1,46,0,0,0,0,11,1,0,0,16,87,7,1,0
40,0,1,0,0,1,14,0,1,1,0,0,0,1,1,0,0,58,0,0,0,0,2,0,0,0,10,119,5,1,1
33,0,1,0,0,0,12,1,0,0,1,0,0,0,1,0,0,47,0,0,0,0,7,0,0,0,13,117,4,0,0
39,0,0,1,0,1,20,3,1,0,1,1,0,1,1,1,0,43,0,0,0,0,15,0,0,0,12,97,9,0,0
38,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,3,0,0,0,12,96,1,0,0
55,1,0,1,0,0,14,2,1,0,1,0,0,1,1,1,0,30,0,1,1,1,9,0,0,0,15,90,9,0,1
40,0,1,0,0,0,8,0,1,1,0,0,0,0,0,0,0,32,1,1,0,0,5,0,0,0,14,91,2,0,1
45,1,1,1,1,1,17,0,1,1,1,0,0,0,0,0,0,27,1,0,0,0,3,0,0,0,14,108,1,0,1
58,0,1,1,0,0,21,0,0,0,1,0,0,1,1,0,0,58,0,0,1,0,10,0,0,0,17,120,6,0,0
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
44,1,1,1,0,0,10,2,1,0,1,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,13,87,5,0,1
45,1,0,1,0,0,14,3,1,0,1,0,0,1,1,1,1,29,1,0,0,1,14,1,0,0,15,97,10,0,1
