feature,mean_cluster_coverage,max_cluster_coverage,appearances
perm_android.permission.WRITE_OWNER_DATA,0.004285628588568,0.01,7
perm_android.permission.MODIFY_PHONE_STATE,0.004251839384375377,0.009009009009009009,16
perm_android.permission.MANAGE_USERS,0.004200600600600601,0.01,10
intent_android.intent.action.SENDTO,0.004187812472155604,0.015015015015015015,13
intent_com.baidu.android.pushservice.action.METHOD,0.0041374850029994,0.01,16
intent_android.intent.action.NOTIFICATION_ADD,0.004135642341001269,0.006006006006006006,9
intent_android.intent.action.NOTIFICATION_REMOVE,0.004135642341001269,0.006006006006006006,9
intent_android.intent.action.NOTIFICATION_UPDATE,0.004135642341001269,0.006006006006006006,9
intent_download.service.action,0.0041199760047990405,0.005,5
intent_cn.jpush.android.intent.DaemonService,0.004033293341331733,0.009,6
intent_com.baidu.android.pushservice.action.PUSH_SERVICE,0.004030732315075446,0.01,13
intent_com.baidu.android.pushservice.action.RECEIVE,0.004030732315075446,0.01,13
intent_com.baidu.android.pushservice.action.media.CLICK,0.004030732315075446,0.01,13
intent_com.baidu.android.pushservice.action.notification.SHOW,0.004030732315075446,0.01,13
intent_wifi.intent.action.SDK_RESULT,0.004020071006273765,0.006006006006006006,11
intent_com.baidu.android.pushservice.action.BIND_SYNC,0.004011431447444245,0.01,18
perm_android.permission.READ_PROFILE,0.004003003003003003,0.006006006006006006,8
intent_android.provider.Telephony.SMS_RECEIVED2,0.004,0.01,6
intent_com.amazon.device.messaging.intent.RECEIVE,0.003966656668666266,0.008,12
intent_com.amazon.device.messaging.intent.REGISTRATION,0.003966656668666266,0.008,12
perm_com.amazon.device.messaging.permission.RECEIVE,0.003966656668666266,0.008,12
intent_com.baidu.android.pushservice.action.notification.CLICK,0.003938443080614646,0.01,13
perm_org.simalliance.openmobileapi.SMARTCARD,0.003920977005800042,0.01,15
intent_com.baidu.android.pushservice.action.MESSAGE,0.003893701740132454,0.01,15
intent_safiap.framework.ACTION_NETWORK_ERROR,0.003847770847770848,0.009009009009009009,13
intent_android.intent.action.START_PCM_PLAY_SERVICE,0.0038018018018018017,0.008,5
intent_com.telecom.sdk_auth_ui.SMS_CODE_SEND_ACTIOIN,0.0038018018018018017,0.008,5
intent_com.telecom.sdk_auth_ui.SMS_SEND_ACTIOIN,0.0038018018018018017,0.008,5
