perm_android_permission_SET_WALLPAPER,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,intent_com_yandex_metrica_IMetricaService,suspicious_getSubscriberId,suspicious_system_bin_su,perm_android_permission_ACCESS_COARSE_UPDATES,intent_android_intent_action_DATA_SMS_RECEIVED,n_api_calls,n_providers,n_services,perm_android_permission_READ_LOGS,intent_com_inmobi_share_id,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_firebase_MESSAGING_EVENT,suspicious_getCellSignalStrength,intent_com_xiaomi_push_PING_TIMER,intent_com_xiaomi_mipush_ERROR,intent_com_xiaomi_mipush_RECEIVE_MESSAGE,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_WRITE_SETTINGS,n_activities,n_used_permissions,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,label
0,0,0,0,0,0,0,0,31,2,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,51,12,1,1,0,0
0,0,0,0,0,0,0,0,23,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,52,11,1,0,0,0
0,1,0,0,0,0,0,0,32,3,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,43,13,1,0,0,1
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,9,1,1,1,1
0,0,0,0,0,0,0,0,24,4,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,52,9,1,1,1,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,0
0,1,1,1,1,1,0,1,28,1,5,0,0,1,1,1,0,0,1,0,0,0,0,1,0,49,11,1,1,0,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,1
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,1,1,0
0,1,0,1,1,0,0,0,28,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,38,11,1,0,0,0
0,1,0,1,1,0,0,0,28,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,38,11,1,0,0,0
0,0,0,0,0,0,0,0,32,6,8,0,0,1,0,1,1,1,0,0,0,0,0,0,0,51,13,1,0,1,0
0,1,1,0,1,1,0,0,32,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,36,12,0,1,1,0
0,0,0,0,0,1,0,0,28,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,12,0,0,0,0
0,0,0,0,0,0,0,0,27,2,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,43,9,1,1,0,1
0,0,0,0,0,0,0,0,20,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,41,8,1,0,0,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,9,1,1,1,0
0,0,0,0,0,0,0,0,27,3,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,53,12,1,0,1,0
0,0,0,0,0,0,0,0,20,2,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,40,9,1,0,0,0
0,0,0,0,0,0,0,0,27,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,34,11,1,0,0,0
0,0,0,0,0,0,0,0,18,7,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,49,10,1,0,1,0
0,0,0,0,0,0,0,0,28,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,37,8,1,1,0,0
