top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
900,6.368898512348536,4.414584047147576,0.007076553902609484,0.004905093385719529,0.0005967472853472544,0.0004136336983434343,intent_com.qihoo.appstore.utils.ActivityBroadcastReceiver.ACTION_INTENT_TRANSFER|intent_com.qihoo.appstore.ACTION_LOCK_SCREEN_AD_STATE_CHANGE|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_FROM_NOTIFICATION|intent_com.qihoo.appstore.push.PushNotifyCancelReceiver.ACTION_INTENT_CANCEL|intent_com.qihoo.appstore.ACTION_LOCK_SCREEN_AD_ADD_LISTENER|intent_com.sogou.androidtool.service.weatherservice|intent_com.sjm.avplay.SHOW_ACTIVITY|perm_com.qiku.android.launcher3.permission.READ_UNREAD|perm_com.huaqin.launcherEx.permission.WRITE_SETTINGS|intent_android.provider.Telephony.SMS_RECEIVED2,0.006172154448145228,0.004278211453867975,-7.257683660443805e-05
910,6.374722616024617,4.418621008190423,0.00700518968793914,0.004855627481527938,0.0005759960462001223,0.00039925003545626995,perm_android.permission.SET_ACTIVITY_WATCHER|intent_com.urbanairship.actions.SHOW_LANDING_PAGE_INTENT_ACTION|perm_android.permission.CHANGE_COMPONENT_ENABLED_STATE|intent_android.intent.action.INPUT_METHOD_CHANGED|perm_com.android.launcher2.permission.UNINSTALL_SHORTCUT|intent_com.excelliance.dualaid.action.ext|intent_com.kingroot.kinguser.ACTION_MAIN_START_CHECK|intent_com.excelliance.dualaid.act.action.ext|intent_com.kingroot.ACTION_SERVICE_PSS_RECORD|intent_com.kingroot.kinguser.gamebox.ACTION_GAME_REPLACE,0.005824103676081549,0.004036961042847231,-7.136421467034398e-05
920,6.380478003996743,4.422610339136482,0.006935302178257329,0.004807185151235307,0.0005730971532326712,0.00039724067594864177,intent_com.kingroot.kinguser.service.IKCommonManagerInterface|intent_com.excelliance.dualaid.action.process.64|intent_android.net.wifi.PICK_WIFI_WORK|intent_com.kinguser.kingroot.ACTION_INSTALL|intent_android.net.conn.MEDIA_NOFS|perm_ANDROID.PERMISSION.SEND_SMS|intent_com.kingroot.kinguser.ANTILOG_DELETE|intent_com.kingroot.kinguser.gamebox.ACTION_GAME_DELETED|intent_com.cootek.usage.alarm_operation|intent_android.intent.action.PACKAGE_FULLY_REMOVED,0.00575538797212527,0.0039893309460588,-6.988750968181089e-05
930,6.386069587003686,4.426486129134073,0.0068667414914018125,0.0047596625044452395,0.0005502444807272688,0.0003814004104335079,intent_android.provider.Telephony.WAP_PUSH_RECEIVED|perm_com.android.launcher2.permission.INSTALL_SHORTCUT|intent_com.urbanairship.push.RECEIVED|intent_com.urbanairship.push.CHANNEL_UPDATED|intent_com.android.deskclock.ALARM_SNOOZE|intent_io.intercom.android.sdk.INTERCOM_PUSH_DISMISSED|intent_io.intercom.android.sdk.INTERCOM_PUSH_OPENED|intent_com.excelliance.open.action.queryUpdate|intent_com.excelliance.open.action.fw|intent_download.service.action,0.005591583006943068,0.0038757899975907506,-6.856068685551654e-05
940,6.391423210921497,4.430196978458957,0.006799386394597337,0.00471297550899889,0.0005316747912095243,0.0003685288825183836,intent_com.urbanairship.push.DISMISSED|perm_android.permission.BIND_JOB_SERVICE|perm_com.lenovo.launcherhdmarket.permission.WRITE_SETTINGS|intent_qcast.service.Link_service|intent_com.punchbox.service|intent_android.intent.action.INSTALL|perm_baidu.push.permission.WRITE_PUSHINFOPROVIDER.com.esbook.reader|intent_android.intent.action.SEND_TO_KPSH|intent_android.intent.action.USER_CLEARNOTIFY|intent_com.ez.sj,0.0053536239178111344,0.00371084932488408,-6.735509680447574e-05
950,6.3965695934390805,4.4337641789911135,0.006733231150988506,0.004667120188411699,0.0005087227328740007,0.00035261972797856586,intent_android.intent.action.CHECK_RECEIVER|perm_com.lenovo.launcherhdmarket.permission.READ_SETTINGS|intent_android.intent.action.TIME_TICK|perm_com.huaqin.launcherEx.permission.READ_SETTINGS|perm_com.sonymobile.home.permission.PROVIDER_ACCESS_MODIFY_CONFIGURATION|intent_com.meizu.cloud.pushservice.action.PUSH_SERVICE_START|intent_com.snipermob.sdk.notification|intent_android.fbreader.action.CLOSE|intent_android.fbreader.action.PLUGIN_CRASH|intent_android.fbreader.action.PLUGIN,0.005146382517583703,0.0035672005321565337,-6.615524360883106e-05
960,6.401550068308389,4.437216381104635,0.0066682813211545715,0.004622100396983995,0.00048735584860021275,0.00033780933240099833,intent_com.excelliance.open.action.startNextChapter|intent_com.excelliance.open.action.startPromptActivity|intent_wifi.intent.action.SDK_RESULT|intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.ACTION_PROCESS_UPDATES|perm_com.ibingo.launcher.permission.READ_SETTINGS|intent_com.android.utils.hades.ACTION_UPDATE_COMMON_RES|intent_com.android.utils.hades.ACTION_INIT_COMMON_RES|perm_android.permission.STOP_APP_SWITCHES|intent_|intent_com.excelliance.kxqp.action.space.stat,0.0049804748693080825,0.0034522021135217074,-6.494982983393412e-05
970,6.40642362679439,4.440594474428646,0.006604560439994216,0.004577932447864583,0.00048735584860021275,0.00033780933240099833,intent_com.excelliance.kxqp.action.time|intent_cryopiggy.start|intent_com.yulong.mms.NEW_MESSAGE_EXTERNAL|intent_LOCATION_SERVICE|intent_android.settings.SYNC_SETTINGS|intent_com.excelliance.kxqp.action.explore|intent_com.excelliance.kxqp.action.gp|intent_com.excelliance.kxqp.action.launcher|intent_com.telecom.sdk_auth_ui.SMS_CODE_SEND_ACTIOIN|perm_ANDROID.PERMISSION.WRITE_APN_SETTINGS,0.00487355848600135,0.0033780933240104005,-6.372088116035537e-05
980,6.411277079248165,4.443958631313029,0.006542119468620576,0.004534651664605131,0.0004812590572245701,0.0003335833586324156,intent_com.excelliance.kxqp.action.navback|intent_com.telecom.sdk_auth_ui.SMS_SEND_ACTIOIN|intent_com.telecom.sdk_auth_ui.SMS_UNSUB_SEND_RESULT_ACTION|intent_android.intent.action.START_PCM_PLAY_SERVICE|intent_pre_add_game_uninstalled|perm_cn.nubia.launcher.permission.WRITE_SETTINGS|perm_com.tencent.mtt.extension.Player|intent_android.intent.action.DATA_SMS_RECEIVED|perm_android.permission.INJECT_EVENTS|intent_com.yandex.metrica.IMetricaService,0.004853452453774665,0.003364156884383185,-6.244097137363992e-05
990,6.4160139119063375,4.447241953514816,0.0064808221332387245,0.004492163589408906,0.0004667409486121543,0.00032352017258109145,perm_android.Manifest.permission.READ_PHONE_STATE|intent_com.gridappsinc.launcher.theme.apk_action|intent_com.phonemetra.turbo.launcher.icons.ACTION_PICK_ICON|intent_android.intent.action.CLOSE_SYSTEM_DIALOGS|intent_android.media.AUDIO_BECOMING_NOISY|intent_com.lge.launcher2.THEME|intent_com.android.utils.hades.ACTION_UPDATE_SYS_WRAPPER|intent_com.android.utils.hades.ACTION_START_SYS_WRAPPER|intent_com.android.utils.hades.ACTION_REGISTER_IMPLICIT_RECEIVERS|intent_com.tappx.sdk.SILP,0.004736832658172929,0.0032833222017876196,-6.129733538185172e-05
