top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,ig_gain,mi_gain,mean_ig_change
9650,7.084290092126962,4.910455703703757,0.0007341233256090116,0.0005088555133371769,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-3.592863524999948e-06
9700,7.086504768567413,4.91199080043442,0.0007305675019141663,0.000506390804168497,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.555823694845325e-06
9750,7.088719445007864,4.913525897165084,0.0007270481482059347,0.0005039513740682138,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-3.5193537082315457e-06
9800,7.090934121448315,4.9150609938957475,0.0007235647062702362,0.000501536836111811,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-3.48344193569852e-06
9850,7.093148797888767,4.9165960906264115,0.000720116629227286,0.0004991468112311078,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-3.448077042950224e-06
9900,7.0953634743292175,4.918131187357073,0.0007167033812453755,0.0004967809280158659,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306613228,-3.4132479819104673e-06
9950,7.097578150769669,4.919666284087737,0.0007133244372632833,0.0004944388225213806,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-3.3789439820922085e-06
10000,7.099792827210122,4.9212013808184,0.0007099792827210122,0.00049212013808184,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-3.3451545422711e-06
10050,7.102007503650571,4.922736477549062,0.0007066674132985643,0.0004898245251292599,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.001535096730662211,-3.3118694224478634e-06
10100,7.104222180091023,4.924271574279726,0.0007033883346624775,0.00048755164101779464,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-3.279078636086812e-06
10150,7.106436856531475,4.925806671010388,0.0007001415622198497,0.0004853011498532402,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-3.246772442627808e-06
10200,7.108651532971925,4.927341767741051,0.0006969266208796005,0.0004830727223275541,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.2149413402492123e-06
10250,7.110866209412377,4.9288768644717145,0.0006937430448207196,0.000480866035558216,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-3.1835760588808538e-06
