cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
80,cluster_80.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9623082696261088,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_80
81,cluster_81.json,50,suspicious_getCellLocation,5,0.826334477698901,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_81
82,cluster_82.json,50,suspicious_getSubscriberId,5,0.9146989343520684,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_82
83,cluster_83.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8548119907673012,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_83
84,cluster_84.json,50,suspicious_getExternalStorageDirectory,4,0.8,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_84
85,cluster_85.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9967507567052676,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_85
86,cluster_86.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_86
87,cluster_87.json,50,suspicious_getSubscriberId,5,0.7861214280992647,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_87
88,cluster_88.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.7826214106237989,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_88
89,cluster_89.json,50,n_api_calls,5,0.9112771386522052,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_89
90,cluster_90.json,50,perm_android.permission.GET_TASKS,5,0.8496044881012788,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_90
91,cluster_91.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_91
92,cluster_92.json,50,intent_android.intent.action.PACKAGE_CHANGED,5,0.887963472784597,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_92
93,cluster_93.json,50,n_api_calls,5,0.9023911636619816,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_93
94,cluster_94.json,50,n_api_calls,5,0.8837719508881554,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_94
95,cluster_95.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.7154039523320435,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_95
96,cluster_96.json,50,n_permissions,5,0.838950125043751,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_96
97,cluster_97.json,50,perm_android.permission.GET_TASKS,5,0.8331062884674008,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_97
98,cluster_98.json,50,n_api_calls,5,0.9254489403647272,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_98
99,cluster_99.json,50,perm_android.permission.DEVICE_POWER,5,0.5038351370636673,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_99
