cluster_id, base_entropy      , max_entropy_reduction_ratio, mean_entropy_reduction_ratio, top_1_feature                                        , top_1_score       , top_2_feature                                              , top_2_score       , top_3_feature                                              , top_3_score       , top_4_feature                                         , top_4_score       , top_5_feature                                        , top_5_score
        20, 0.7849192945250534,          0.6351467666191268,           0.013790314364731 , n_api_calls                                          , 0.6351467666191268, n_urls                                                     , 0.520248016567176 , n_used_permissions                                         , 0.4855708962945148, suspicious_getPackageInfo                             , 0.3786486170994002, suspicious_getExternalStorageDirectory               , 0.3716806412251277
        21, 0.020814071335501 ,          1.0               ,           0.0048806772186307, intent_android.app.action.DEVICE_ADMIN_ENABLED       , 1.0               , intent_android.intent.action.ACTION_SHUTDOWN               , 1.0               , intent_android.intent.action.USER_PRESENT                  , 1.0               , n_receivers                                           , 1.0               , n_urls                                               , 0.2496414279322042
        22, 0.6295033782281994,          0.6444906408725072,           0.0104627694120709, n_api_calls                                          , 0.6444906408725072, n_services                                                 , 0.5504093681857402, n_urls                                                     , 0.5480693042199226, perm_android.permission.READ_PHONE_STATE              , 0.4543435441818206, n_activities                                         , 0.4476546396425894
        23, 0.0529150803448476,          1.0               ,           0.0327067033710066, perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS    , 1.0               , intent_com.google.android.c2dm.intent.RECEIVE              , 0.8773464019448473, perm_com.google.android.c2dm.permission.RECEIVE            , 0.8773464019448473, intent_android.net.conn.CONNECTIVITY_CHANGE           , 0.8165077728074904, perm_com.anddoes.launcher.permission.UPDATE_COUNT    , 0.7732215481523228
        24, 0.9873944843383377,          0.4961412883597603,           0.006288498287118 , n_api_calls                                          , 0.4961412883597603, n_permissions                                              , 0.4737765636393928, n_used_permissions                                         , 0.4541003230182097, perm_android.permission.GET_TASKS                     , 0.3672168001926574, perm_android.permission.READ_PHONE_STATE             , 0.3629869857481133
        25, 0.0672215447583068,          0.5463575098455457,           0.0211556706125198, perm_android.permission.CHANGE_NETWORK_STATE         , 0.5463575098455457, perm_android.permission.RECEIVE_SMS                        , 0.5463575098455457, suspicious_getSubscriberId                                 , 0.5463575098455457, perm_com.google.android.c2dm.permission.RECEIVE       , 0.4857817766079131, perm_android.permission.SEND_SMS                     , 0.4857817766079131
        26, 0.020814071335501 ,          1.0               ,           0.007857736556813 , perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS    , 1.0               , suspicious_Cipher                                          , 0.6881808997837361, perm_android.permission.SYSTEM_ALERT_WINDOW                , 0.6531538288446131, intent_android.intent.action.SEND                     , 0.5647824070579143, perm_android.permission.GET_TASKS                    , 0.5006020216614049
        27, 0.020814071335501 ,          0.6881808997837361,           0.0045012749270087, suspicious_getExternalStorageDirectory               , 0.6881808997837361, n_used_permissions                                         , 0.3705057617066548, n_activities                                               , 0.3045962729044961, perm_android.permission.GET_TASKS                     , 0.3045962729044961, n_permissions                                        , 0.299688485493175
        28, 0.020814071335501 ,          0.4426747283493826,           0.0036158515839417, perm_android.permission.RECEIVE_BOOT_COMPLETED       , 0.4426747283493826, intent_android.intent.action.BOOT_COMPLETED                , 0.3831178653590091, n_permissions                                              , 0.3204571068199621, n_receivers                                           , 0.3149660354405711, n_services                                           , 0.292637972056057
        29, 0.4021791902022728,          0.5275234751932717,           0.0149737848727214, n_urls                                               , 0.5275234751932717, n_api_calls                                                , 0.4704414248433902, perm_android.permission.READ_PHONE_STATE                   , 0.4545526156187235, perm_com.majeur.launcher.permission.UPDATE_BADGE      , 0.4498459221682602, perm_com.anddoes.launcher.permission.UPDATE_COUNT    , 0.4498459221682602
        30, 0.2422921890824148,          0.7369279604229172,           0.0083103911643503, perm_android.permission.GET_TASKS                    , 0.7369279604229172, intent_android.intent.action.PACKAGE_ADDED                 , 0.4378092826404313, intent_android.intent.action.PACKAGE_REMOVED               , 0.3922201202936744, n_permissions                                         , 0.3828878108752336, intent_android.intent.action.DOWNLOAD_COMPLETE       , 0.3728880751861673
        31, 0.0529150803448476,          0.5610466570593391,           0.0030173660992764, n_urls                                               , 0.5610466570593391, n_api_calls                                                , 0.3065089783600669, n_permissions                                              , 0.2203097566646048, intent_android.intent.action.QUICKBOOT_POWERON        , 0.2138501129559565, perm_com.android.launcher.permission.INSTALL_SHORTCUT, 0.1855377291488216
        32, 0.020814071335501 ,          0.8078223171466943,           0.0050640116602656, suspicious_getSubscriberId                           , 0.8078223171466943, suspicious_sendTextMessage                                 , 0.8078223171466943, perm_android.permission.SEND_SMS                           , 0.7352860516563465, n_api_calls                                           , 0.5821561792978168, perm_android.permission.READ_PHONE_STATE             , 0.5228418194979663
        33, 0.1414405425418206,          0.381627112101593 ,           0.0073164422069673, intent_android.intent.action.PACKAGE_ADDED           , 0.381627112101593 , suspicious_system/bin/su                                   , 0.3770979909575108, suspicious_getCellLocation                                 , 0.3413557737609003, n_urls                                                , 0.3369829657753985, intent_com.yandex.metrica.IMetricaService            , 0.3320244712709593
        34, 0.020814071335501 ,          0.5354616808782766,           0.0058308196121514, perm_android.permission.WRITE_SETTINGS               , 0.5354616808782766, n_receivers                                                , 0.4070809321941127, n_urls                                                     , 0.3922122291598552, perm_android.permission.GET_ACCOUNTS                  , 0.3383700231576901, n_api_calls                                          , 0.3352191406210777
        35, 0.9980485963165612,          0.6252865183140801,           0.0081991092194105, n_urls                                               , 0.6252865183140801, n_api_calls                                                , 0.5614775275253533, n_used_permissions                                         , 0.5239130485457518, suspicious_getPackageInfo                             , 0.4201021571046247, perm_android.permission.SYSTEM_ALERT_WINDOW          , 0.3654347825929456
