intent_com_igexin_sdk_action_refreshls,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_android_permission_UPDATE_APP_OPS_STATS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_getui_gtc_sdk_service_action,n_api_calls,perm_android_permission_WRITE_SMS,intent_com_getui_gis_action_64kVIzqls49c7TJxrBbWG4,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_GET_TASKS,perm_com_android_launcher2_permission_READ_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_READ_SMS,intent_com_android_vending_INSTALL_REFERRER,n_permissions,perm_android_permission_RECEIVE_MMS,perm_android_permission_MODIFY_PHONE_STATE,intent_com_igexin_sdk_action_service_message,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_INTERACT_ACROSS_USERS,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_wifi_intent_action_SDK_RESULT,n_urls,intent_com_google_firebase_MESSAGING_EVENT,label
0,0,0,0,0,1,0,50,0,0,1,1,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,255,0,1
0,0,0,0,0,1,0,54,0,0,1,1,0,1,0,0,0,0,45,0,0,0,1,0,0,0,1,0,209,0,0
0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,1,0,1,9,0,0,0,0,0,0,1,0,0,215,1,0
0,0,0,0,0,1,0,47,0,0,0,1,1,1,0,1,0,1,27,0,0,0,1,0,0,1,0,0,260,1,0
0,0,0,0,0,1,0,65,0,0,1,1,0,1,0,0,0,1,30,0,0,0,1,0,0,0,0,0,240,0,0
1,0,1,0,0,1,0,71,0,0,1,1,0,1,0,0,0,0,24,0,0,1,1,0,0,0,0,0,218,0,0
0,0,0,0,1,1,0,52,0,0,1,0,1,0,0,1,0,1,19,0,0,0,0,0,0,0,1,0,222,0,0
0,0,0,0,0,0,0,51,0,0,1,0,1,1,0,1,0,1,39,0,0,0,0,0,0,1,0,0,204,0,0
0,0,0,0,1,1,0,38,0,0,1,1,0,1,0,0,0,0,34,0,0,0,0,0,0,0,1,0,252,0,1
0,0,1,0,1,1,0,80,0,0,1,1,0,1,0,0,1,0,47,0,0,0,1,0,0,0,1,0,260,0,0
1,0,0,0,0,1,0,45,0,0,1,1,0,1,0,0,0,0,31,0,0,0,1,0,0,0,1,0,204,0,0
0,0,0,0,0,1,0,28,0,0,1,1,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,231,0,0
0,0,0,0,0,0,0,26,0,0,0,0,1,1,0,1,0,1,18,0,0,0,0,0,0,1,0,0,224,1,0
0,0,0,0,0,0,0,42,0,0,1,0,1,0,0,1,0,1,21,0,0,0,0,0,0,1,0,0,218,1,0
0,0,0,0,0,1,0,35,0,0,0,1,0,1,0,0,0,0,28,0,0,0,1,0,0,0,0,0,237,0,0
1,0,0,0,0,0,0,22,0,0,0,0,1,1,0,1,0,1,42,0,0,0,0,0,0,0,1,0,257,0,0
0,0,0,0,0,1,0,35,0,0,0,1,1,1,0,1,0,1,31,0,0,0,0,0,0,1,0,0,229,1,0
0,0,0,0,0,1,0,70,0,0,1,1,0,1,0,0,0,0,36,0,0,0,1,0,0,0,1,0,255,0,0
0,0,0,0,0,1,0,70,0,0,0,1,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,250,0,0
0,0,0,0,0,0,0,52,0,0,0,0,1,1,0,1,0,1,25,0,0,0,0,0,0,1,0,0,203,0,0
0,0,0,0,0,0,0,43,0,0,0,1,1,1,0,1,0,1,53,0,0,0,0,0,1,0,0,0,193,0,0
0,0,0,0,0,1,0,51,0,0,0,1,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,206,0,0
0,0,0,0,0,1,0,28,0,0,0,1,0,1,0,0,0,0,17,0,0,0,1,0,0,0,0,0,234,0,0
0,0,0,0,1,0,0,44,0,0,0,1,1,0,0,1,0,1,13,0,0,0,0,0,0,1,1,0,244,1,0
0,1,0,0,0,0,0,48,1,0,0,0,0,1,0,0,1,0,27,0,0,0,0,0,0,0,0,0,203,0,0
0,1,0,0,0,0,0,25,0,0,0,1,1,1,0,1,1,1,21,0,0,0,0,0,0,1,0,0,237,1,0
0,0,0,0,0,1,0,38,0,0,1,0,0,1,0,0,1,0,33,0,0,0,0,0,0,0,0,0,205,0,0
0,0,0,0,0,0,0,55,0,0,1,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,210,0,0
0,1,1,0,1,1,0,92,0,0,1,1,0,1,0,0,0,0,21,0,0,0,1,0,0,0,1,0,221,0,0
0,0,0,0,0,1,0,68,0,0,1,1,0,1,0,0,0,0,36,0,0,0,1,0,0,0,1,0,259,0,0
0,0,0,0,0,1,0,55,0,0,0,1,0,1,0,0,0,0,20,0,0,0,1,0,0,0,0,0,207,0,0
0,0,0,0,0,0,0,51,0,0,1,0,1,0,0,1,0,1,19,0,0,0,0,0,0,0,0,0,197,1,0
0,0,0,0,0,0,0,58,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,1,1,0,261,1,0
0,0,0,0,0,1,0,68,0,0,1,1,0,1,0,0,0,0,36,0,0,0,1,0,0,0,1,0,259,0,0
0,0,0,0,0,1,0,68,0,0,1,1,0,1,0,0,0,0,36,0,0,0,1,0,0,0,1,0,259,0,0
0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,215,1,0
