intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_RESTARTED,perm_android_permission_ACCESS_COARSE_LOCATION,n_api_calls,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_QUICKBOOT_POWERON,n_providers,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_GET_TASKS,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_SEND_SMS,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_permissions,n_receivers,n_services,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_android_permission_NFC,label
0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0
0,0,0,0,0,1,25,0,0,0,3,12,1,1,1,0,1,0,1,0,0,1,1,40,31,12,9,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,26,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0
0,0,0,0,0,1,22,0,0,0,1,9,0,1,1,0,0,0,1,0,1,1,1,82,19,5,12,0,1,0,0
0,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0
1,1,0,1,0,1,42,0,0,0,0,14,0,0,0,1,1,0,0,0,0,0,0,23,25,4,2,0,1,0,0
0,0,0,0,0,0,18,0,0,1,0,7,0,0,1,0,1,0,1,0,0,0,0,26,17,7,3,1,0,0,0
0,0,0,0,0,0,19,0,0,1,1,7,1,1,1,0,1,0,1,0,0,1,1,26,23,10,10,1,0,0,0
0,0,0,0,0,0,10,0,0,0,1,6,0,0,1,1,0,0,1,0,0,0,0,26,11,1,1,0,0,0,0
1,0,0,0,0,0,28,0,0,0,10,11,1,1,1,0,1,0,1,0,0,1,1,31,17,10,20,1,1,0,0
0,0,0,1,0,0,38,0,0,0,1,14,1,1,0,0,0,0,0,0,0,0,0,67,5,4,1,0,1,0,0
0,0,0,0,0,0,17,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,1
0,0,0,0,0,1,26,0,0,0,2,10,0,0,1,0,1,0,1,0,0,0,0,175,18,4,10,1,1,0,0
0,1,1,1,0,1,34,1,1,0,1,14,1,1,1,0,1,0,1,0,0,1,1,55,14,30,19,1,0,0,0
0,0,0,0,0,1,19,0,0,0,2,10,1,1,1,0,0,0,1,0,0,1,1,34,13,4,9,0,0,0,0
0,0,0,0,0,1,13,0,0,0,5,7,1,1,1,0,0,0,1,0,0,1,0,17,11,3,4,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0
0,0,0,0,0,0,18,0,0,0,1,7,1,1,1,0,0,0,1,0,0,1,0,51,7,4,2,0,0,0,0
0,0,0,0,0,0,55,0,0,0,1,17,1,0,1,0,0,0,1,0,0,0,0,9,28,2,3,0,0,0,0
0,0,0,0,0,0,20,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1
0,0,0,0,0,1,26,0,0,0,3,12,1,1,1,0,0,0,1,0,0,1,1,25,12,4,4,0,0,0,0
0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,10,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,7,20,2,0,0,0,0,0
0,0,0,0,0,1,13,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,15,12,0,0,0,0,0,1
0,0,0,0,0,0,21,0,0,0,1,8,1,1,1,0,0,0,1,0,0,1,1,39,9,7,3,0,0,0,1
0,0,0,0,0,0,27,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0
0,0,0,0,0,1,33,0,0,0,2,15,1,1,1,0,0,0,1,0,0,0,0,149,38,9,17,1,1,0,0
0,0,0,0,0,0,32,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0
0,0,0,0,0,0,39,0,0,0,1,11,1,1,1,0,0,0,1,0,1,1,1,149,19,4,3,0,0,0,0
0,0,0,0,0,0,7,0,0,0,2,5,0,0,0,0,1,0,0,0,1,0,0,0,12,3,2,1,0,0,0
