cluster_id,feature,aggregated_score,method_count,rank_mean,rank_std,top_methods,entropy_reduction_ratio,entropy_reduction_ratio_norm,entropy_reduction_ratio_rank,mutual_information,mutual_information_norm,mutual_information_rank,chi2_stat,chi2_stat_norm,chi2_stat_rank,f_stat,f_stat_norm,f_stat_rank,pearson_r,pearson_r_norm,pearson_r_rank
44,intent_com.sogou.androidtool.service.weathernotifyreceiver,0.1151525129278502,0,423.2,234.3452581128963,,0.0,0.0,546.0,0.01273127912116312,0.3151339852907444,8.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.intent.action.CAL,0.11150641093609504,0,423.4,233.9023300439737,,0.0,0.0,546.0,0.011994774264055486,0.2969034753319686,9.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.intent.action.PACKAGE_INSTALL,0.10923782905697119,0,423.8,233.01652301929147,,0.0,0.0,546.0,0.011536525543504261,0.2855605659363494,11.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.intent.action.START_PCM_PLAY_SERVICE,0.1084365947904303,0,424.2,232.13078210353748,,0.0,0.0,546.0,0.01137467792368374,0.28155439460364495,13.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_com.lenovo.launcher.permission.READ_SETTINGS,0.10789876651146357,0,424.4,231.68793667344875,,0.0,0.0,546.0,0.011266037753813407,0.2788652532088112,14.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,suspicious_Base64,0.1077514564302215,0,424.6,231.24510805636515,,0.0,0.0,546.0,0.011236281430325734,0.2781287028026008,15.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.qihoo.appstore.plugin.START_PLUGIN_FROM_PROXY_LISTENER,0.10774248691533408,0,424.8,230.8022963490615,,0.0,0.0,546.0,0.011234469607371955,0.27808385522816376,16.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_com.thunderst.launcher.permission.READ_SETTINGS,0.10631070279684363,0,425.0,230.35950164905287,,0.0,0.0,546.0,0.010945252256902238,0.2709249346357115,17.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_com.facebook.permission.prod.SYSTEM_COMMUNICATION,0.10477696003791745,0,425.2,229.916724054602,,0.0,0.0,546.0,0.01063543947765,0.26325622084108063,18.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_android.permission.READ_SYNC_SETTINGS,0.10269546288179758,0,425.4,229.47396366472606,,0.0,0.0,546.0,0.010214981473731122,0.2528487350604812,19.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.kingroot.kinguser.action.update,0.1024242692776984,0,425.8,228.5884948985841,,0.0,0.0,546.0,0.010160200941785713,0.2514927670399854,21.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
